Id,SalePrice
1461,128404.33
1462,154269.32
1463,141438.0
1464,179085.65
1465,210735.12
1466,171812.69
1467,167762.43
1468,172843.45
1469,189050.6666666667
1470,119429.5
1471,204280.25
1472,89923.58333333331
1473,130745.5
1474,163114.32
1475,122707.0
1476,365333.71
1477,251268.37
1478,278807.89
1479,229329.12
1480,473609.63
1481,343967.81
1482,204837.56
1483,176418.89
1484,157923.5
1485,171402.0
1486,217544.9
1487,392478.14
1488,257755.52
1489,192402.87666666668
1490,190939.0
1491,190516.8333333333
1492,112450.5
1493,176326.65
1494,315906.89
1495,350547.71
1496,212029.0
1497,198994.2
1498,149021.60914285717
1499,150154.00533333336
1500,156196.66999999998
1501,168624.0
1502,148356.17133333333
1503,265359.8
1504,250531.15
1505,213634.95
1506,220726.74
1507,229618.5
1508,202684.5
1509,167361.33
1510,150901.11
1511,148092.5
1512,190119.0
1513,174164.46
1514,164801.0
1515,158881.55
1516,175020.19
1517,144498.0
1518,137587.68
1519,218419.55
1520,133435.75
1521,136803.34
1522,179497.9
1523,118126.5
1524,135141.0
1525,128242.0
1526,127117.25
1527,120753.5
1528,124350.04
1529,140987.87
1530,167331.64
1531,132471.53
1532,103110.0
1533,162680.0
1534,126092.53
1535,144417.57
1536,136706.5
1537,93884.0
1538,181372.51
1539,259779.3
1540,128549.53
1541,171038.0
1542,143233.87
1543,223653.3
1544,93726.0
1545,132039.25
1546,146027.24833333335
1547,130147.87
1548,151195.0
1549,123999.48
1550,149109.5
1551,132848.0
1552,140925.06
1553,150509.82
1554,117965.04
1555,145010.05
1556,111296.25
1557,140101.26
1558,106172.08333333331
1559,139126.0
1560,154212.0
1561,169291.0
1562,124511.28
1563,116333.5
1564,149300.0
1565,141308.5
1566,230576.1
1567,93541.0
1568,212113.2
1569,117965.0
1570,147505.0
1571,121497.0
1572,134113.5
1573,204855.0
1574,152345.0
1575,213945.8
1576,207419.1
1577,185787.5
1578,148203.0
1579,142800.6
1580,190879.6
1581,130050.0
1582,131618.0
1583,330715.14
1584,238168.0
1585,139340.5888888889
1586,71330.0
1587,95958.83
1588,129852.0
1589,109554.0
1590,127049.0
1591,99736.0
1592,140812.5
1593,131093.38238095236
1594,130571.5
1595,134281.7
1596,229185.37
1597,129961.0
1598,172889.75
1599,189213.49333333332
1600,187994.2
1601,63603.0
1602,132987.6
1603,110000.0
1604,268448.95
1605,278725.51
1606,176465.32
1607,173802.0
1608,204304.45857142858
1609,173509.15
1610,147645.42
1611,139197.38
1612,156882.0
1613,147733.0
1614,123007.75
1615,105693.0
1616,105693.0
1617,96922.96428571429
1618,112935.77
1619,122758.0
1620,185739.5
1621,148795.5
1622,125343.0
1623,312204.34
1624,206911.28
1625,129250.33
1626,186627.0
1627,179998.65
1628,254547.13
1629,175108.85
1630,322241.59
1631,234516.36
1632,255651.58
1633,168928.0
1634,181609.5
1635,176113.55
1636,156036.49
